LOGICIEL,CRITICITE,ID TICKET,TYPE TICKET,PRIORITE,SUJET,STATUT,DATE SIGNALISATION,ETAT REVERSEMENT,VERSION INCLUANT LE REVERSEMENT
OBM,Non-critique,654,Demande d'information,Non bloquant,[Administration] OBM - suppression,9 - Fermé,6/25/2015 14:37,,
OBM,Non-critique,655,Anomalie,Non bloquant,[Organigramme] Erreur lors de l'export pdf,9 - Fermé,6/25/2015 17:25,,
OBM,Non-critique,656,Anomalie,Bloquant,[opush] Perte de tous les périphériques et donc les partenariats à la prefecture 89 suite à la mise à jour du serveur effectuée ce matin,9 - Fermé,6/29/2015 16:11,,
OBM,Non-critique,657,Anomalie,Non bloquant,[Opush] Envois multiples d'un même message,11 - Rejeté,7/3/2015 20:52,,
OBM,Non-critique,658,Anomalie,Non bloquant,[Fusion] Rdvs manquants,9 - Fermé,7/10/2015 18:16,,
OBM,Non-critique,659,Anomalie,Non bloquant,[Fusion] Rdv en attente,9 - Fermé,7/10/2015 18:19,,
OBM,Non-critique,660,Anomalie,Non bloquant,[Fusion] Rdv décalés post fusion,9 - Fermé,7/10/2015 18:22,,
OBM,Non-critique,661,Anomalie,Non bloquant,"[icasso-conf] Modification de l'exécution du cron permettant la mise à jour des groupes ""Tous ...""",9 - Fermé,7/10/2015 18:39,,
PostgreSQL,Critique,662,Demande d'information,Non bloquant,Déplacement d'une base PostgreSQL sur une autre plate-forme,9 - Fermé,7/24/2015 10:50,,
OBM,Non-critique,663,Anomalie,Non bloquant,[Sauvegardes] Bals non sauvegardées,9 - Fermé,7/29/2015 17:30,,
OBM,Non-critique,664,Anomalie,Non bloquant,[Sauvegardes] Carnets d'adresses supplémentaires non sauvegardés,2 - Suspendue/Complément demandé,7/29/2015 17:31,,
OBM,Non-critique,665,Anomalie,Non bloquant,[Contacts] Date de fête,9 - Fermé,8/5/2015 9:09,,
Maarch,Non-critique,666,Anomalie,Bloquant,Visualisation des emails associés à un document : mauvais expediteur affiché,7 - Information/solution fournie,8/5/2015 14:53,,
OBM,Non-critique,667,Anomalie,Non bloquant,[Agenda] Rdv en UTC,11 - Rejeté,8/5/2015 15:33,,
OBM,Non-critique,668,Anomalie,Non bloquant,[Agenda] Check manquant pour participants externes,9 - Fermé,8/5/2015 15:37,,
Maarch,Non-critique,669,Anomalie,Bloquant,Qualification d'un document : erreur type d'expediteur,7 - Information/solution fournie,8/5/2015 15:38,,
OBM,Non-critique,670,Anomalie,Non bloquant,[Thunderbird] Menu OBM,9 - Fermé,8/5/2015 15:39,,
LibreOffice,Non-critique,671,Anomalie,Bloquant,Crash Mimo 4.3.7 M3 avec les tableaux ombrés ,9 - Fermé,8/6/2015 9:58,,
LibreOffice,Non-critique,672,Anomalie,Non bloquant,Crash Mimo  4.3.7 M3 avec Base  sur filtre des formulaires,9 - Fermé,8/7/2015 16:24,,
OBM,Non-critique,673,Anomalie,Non bloquant,[agenda] Suppression d'un événement récurrent présent plus de 600 fois dans la table Event,9 - Fermé,8/7/2015 18:00,,
OBM,Non-critique,674,Anomalie,Non bloquant,[script de fusion] Impossible d'importer en une seule fois un grand nombre de comptes,9 - Fermé,8/13/2015 13:00,,
OBM,Non-critique,675,Anomalie,Non bloquant,[script de fusion] Impossible d'importer un compte si la valeur de userobm_mail_perms est à 0,9 - Fermé,8/13/2015 18:11,,
OBM,Non-critique,676,Anomalie,Non bloquant,[script de fusion] Impossible d'importer un compte si le mot de passe du compte contient un *,11 - Rejeté,8/13/2015 18:13,,
OBM,Non-critique,677,Anomalie,Non bloquant,[Dossiers partagés] Impossible de modifier les caractéristiques d'un dossier partagé,9 - Fermé,8/17/2015 13:45,,
Pentaho,Critique,678,Demande d'information,Non bloquant,Pentaho : Masquer le menu en fonction du profil de l'utilisateur,9 - Fermé,8/25/2015 13:07,,
OBM,Non-critique,681,Demande d'information,Non bloquant,[Script de fusion] Restauration dossier partagé,7 - Information/solution fournie,8/26/2015 16:05,,
LibreOffice,Non-critique,682,Demande d'information,Non bloquant,Comment vérifié les certificats valides des documents signés avec LibreOffice ,10 - Abandonné,8/28/2015 11:19,,
OBM,Non-critique,683,Anomalie,Non bloquant,[Administration] Possibilité de créer des boîtes identiques sur plusieurs serveurs,7 - Information/solution fournie,8/31/2015 13:35,,
LibreOffice,Non-critique,686,Anomalie,Non bloquant,Problème d'impression d'un document contenant une image WMF,2 - Suspendue/Complément demandé,9/8/2015 10:57,,
OBM,Non-critique,687,Anomalie,Non bloquant,Modification du nom pour joindre l'annuaire national,9 - Fermé,9/8/2015 15:54,,
OBM,Non-critique,688,Anomalie,Non bloquant,Suppression des groupes automatiques lorsque plus aucun utilisateur n'a une délégation correspondant à ces groupes,9 - Fermé,9/10/2015 12:40,,
OBM,Non-critique,689,Anomalie,Non bloquant,[Agenda distant] Bandeau persistant après ajout,7 - Information/solution fournie,9/17/2015 10:25,,
OBM,Non-critique,690,Anomalie,Non bloquant,[Agenda] Erreur sql lors d'une tentative de modification de l'horaire d'une occurrence d'un rdv récurrent,7 - Information/solution fournie,9/18/2015 19:11,,
OBM,Non-critique,692,Anomalie,Bloquant,[Agenda] Création ou modification de rdv impossible en passant par la création rapide,9 - Fermé,9/25/2015 14:22,,
OBM,Non-critique,693,Anomalie,Non bloquant,[Administration] La suppression de certaine boîtes ne se déroule pas correctement,7 - Information/solution fournie,9/28/2015 15:16,,
OBM,Non-critique,694,Demande d'information,Non bloquant,Utilisation du port 8443 sur les serveurs Icasso,9 - Fermé,9/30/2015 20:26,,
Alfresco community,Non-critique,695,Anomalie,Non bloquant,Anomalie sur génération du documentLibrary dans Share,1 - Rappel effectué,10/9/2015 10:22,,
OBM,Non-critique,696,Anomalie,Bloquant,"[Sauvegarde] Une dizaine de boîtes ne sont pas sauvegardées au moment du ""restar"" d'obmSatellite",7 - Information/solution fournie,10/16/2015 13:15,,
OBM,Non-critique,697,Anomalie,Non bloquant,"[Groupes] L'attribut ""memberof"" n'est pas mis à jour dans le ldap lorsqu'on renomme ou qu'on supprime un groupe",1 - Rappel effectué,10/21/2015 15:35,,
OBM,Non-critique,698,Anomalie,Non bloquant,[Agenda] Décalage graphique rdv récurrent - occurrences post 25/10,7 - Information/solution fournie,10/22/2015 13:19,,
LibreOffice,Non-critique,699,Demande d'information,Bloquant,Probléme avec les dernières versions de Visual C++ ,9 - Fermé,10/26/2015 11:07,,
OBM,Non-critique,700,Anomalie,Bloquant,[opush] Augmentation occupation de la bande passante sur notre apn depuis que l'on met à jour les serveurs,11 - Rejeté,11/2/2015 16:21,,
OBM,Non-critique,704,Anomalie,Non bloquant,[Groupes] Problème alimentation postfix lors de l'import de groupes,1 - Rappel effectué,11/10/2015 19:14,,
OBM,Non-critique,705,Anomalie,Bloquant,[opush] Nombreux fichiers .hprof sur certains serveurs,1 - Rappel effectué,11/10/2015 19:30,,
OBM,Non-critique,706,Anomalie,Non bloquant,[Groupes] Suppression des groupes créés par les administrateurs dont le nom commence par 'Tous ...',7 - Information/solution fournie,11/12/2015 17:14,,
OBM,Non-critique,707,Anomalie,Non bloquant,[groupes] Nettoyage ldap + postfix suite à suppression de groupes par la cron de mise à jour des groupes de délégation,7 - Information/solution fournie,11/12/2015 17:18,,
LibreOffice,Non-critique,708,Anomalie,Bloquant,"security related information, CVE-2015-4551, CVE-2015-5212, CVE-2015-5213, CVE-2015-5214",7 - Information/solution fournie,11/16/2015 16:17,,
OBM,Non-critique,709,Anomalie,Bloquant,[Sauvegarde] Arrêt/relance d'obmSatellite pendant la sauvegarde quotidienne,7 - Information/solution fournie,11/17/2015 21:30,,
OBM,Non-critique,710,Anomalie,Bloquant,[Pablo] Problème lorsqu'on supprime un message depuis un client autre que Pablo,11 - Rejeté,11/20/2015 13:45,,
OBM,Non-critique,711,Anomalie,Bloquant,[Sauvegarde système et sauvegarde quotidienne] Saturation de /tmp/ sur gros serveurs pendant la sauvegarde système,7 - Information/solution fournie,11/26/2015 21:38,,
OBM,Non-critique,713,Anomalie,Non bloquant,[opush] Passage à 4096Mo pour jetty,1 - Rappel effectué,12/8/2015 13:29,,
OBM,Non-critique,714,Anomalie,Non bloquant,[renameEntite] Perte des abonnements aux boîtes et dossiers partagés,9 - Fermé,12/11/2015 17:49,,
OBM,Non-critique,715,Anomalie,Non bloquant,[renameEntite] Modification sed dans script renameDomain.sh,9 - Fermé,12/15/2015 11:56,,
OBM,Non-critique,716,Anomalie,Non bloquant,[renameentite] Mise à jour de la table Domain,9 - Fermé,12/15/2015 14:50,,
OBM,Non-critique,717,Anomalie,Non bloquant,[renameEntite] Mise à jour de la table Domain (champ domain_alias),11 - Rejeté,12/15/2015 15:08,,
LibreOffice,Non-critique,718,Anomalie,Non bloquant,Mise en place de la version MIMO 5.0,5 - Analysé,12/17/2015 14:08,,
