LOGICIEL,CRITICITE,ID TICKET,TYPE TICKET,PRIORITE,SUJET,STATUT,DATE SIGNALISATION,ETAT REVERSEMENT,VERSION INCLUANT LE REVERSEMENT
Maarch,Non-critique,415,Anomalie,Bloquant,Type de dossier - Affectation de champs custom,9 - Fermé,4/10/2014 14:45,,
OBM,Non-critique,416,Anomalie,Non bloquant,[rsyslogd] Configuration,9 - Fermé,4/11/2014 11:39,,
LibreOffice,Non-critique,417,Anomalie,Bloquant,Problémes importants de lecture de fichiers en réseau perdurent  qq soit la version de LibO 4.x,9 - Fermé,4/14/2014 11:51,,
PostgreSQL,Non-critique,418,Demande d'information,Non bloquant,Requête moins performante,9 - Fermé,4/16/2014 17:27,,
OBM,Non-critique,419,Anomalie,Non bloquant,[Migration vers Icasso 2] Problème lors de la mise à jour des paquets sur serveur de secours,11 - Rejeté,4/23/2014 15:31,,
OBM,Non-critique,420,Anomalie,Non bloquant,[Administration] Traitement par lot : délégation groupes privés non mis à jour ,9 - Fermé,4/25/2014 10:37,,
OBM,Non-critique,421,Anomalie,Non bloquant,[Administration] Groupes privés non supprimés lors de la suppression d'un utilisateur,9 - Fermé,4/25/2014 10:44,,
OBM,Non-critique,422,Anomalie,Non bloquant,Erreur pendant la mise à jour,9 - Fermé,4/28/2014 11:40,,
Maarch,Non-critique,423,Anomalie,Non bloquant,Notifications - Notification des courriers en retard,9 - Fermé,5/5/2014 14:25,,
OBM,Non-critique,424,Anomalie,Non bloquant,Rappel événement,9 - Fermé,5/9/2014 11:39,,
OBM,Non-critique,426,Anomalie,Non bloquant,[OBM] : Gestion des périphériques mobiles,9 - Fermé,5/14/2014 14:39,,
Maarch,Non-critique,427,Anomalie,Non bloquant,Note sur document,9 - Fermé,5/15/2014 17:20,Accepté,
Maarch,Non-critique,428,Anomalie,Non bloquant,Plan de classement fonctionnel : gestion du plan personnel personnel,9 - Fermé,5/19/2014 11:55,Accepté sans modification,Applied in changeset r30
Maarch,Non-critique,429,Anomalie,Non bloquant,Plan de classement fonctionnel : gestion des plans proposés pour l'organisation,9 - Fermé,5/19/2014 12:01,,
Maarch,Non-critique,430,Anomalie,Non bloquant,Administration des utilisateurs : mauvaise gestion des entités,9 - Fermé,5/19/2014 13:10,Accepté sans modification,
Maarch,Non-critique,431,Anomalie,Non bloquant,Visualisation des documents : format ODT,9 - Fermé,5/19/2014 15:17,,
OBM,Non-critique,432,Anomalie,Non bloquant,[Administration] Droits non mis à jour pour les nouveaux membres d'un groupe,11 - Rejeté,5/21/2014 8:50,,
VirtualBox,Critique,433,Anomalie,Bloquant,Blocage de VirtualBox lors de l'accès à un token (clé usb sécurisée) Neowave ,9 - Fermé,5/21/2014 13:24,,
Mozilla Thunderbird,Critique,435,Anomalie,Bloquant,"Messages avec pièces jointes non mis en cache par Thunderbird, qui retélécharge toujours les PJ via IMAP",2 - Suspendue/Complément demandé,5/22/2014 14:17,,
OBM,Non-critique,436,Anomalie,Non bloquant,[obm-autoconf-conf] Problème lors de la mise à jour,9 - Fermé,5/22/2014 16:51,,
LibreOffice,Non-critique,437,Demande d'information,Non bloquant,"Livraison pour Ubuntu , pas intégrée dans Unity et non conforme au parc installé ",9 - Fermé,5/22/2014 18:15,,
Maarch,Non-critique,438,Anomalie,Non bloquant,Recherche Document sur statut exclus de la recherche,7 - Information/solution fournie,5/26/2014 12:17,,
